TITLE,COMPANY,LOCATION,LINK
[브랜디] 경영본부/사업본부/개발직군 신입 및 경력,브랜디,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=cd5ca556791f1f79
"R&D Engineer, Sr I",Synopsys,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=4a65a5779d9c9e2a
Security Engineer (모의해킹/취약점 점검),Toss,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=241ae1e7499c461c
2020 하반기 신입사원 [클라우드/인프라기술],현대오토에버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=2a1a4d2764b0a094
Machine Learning 엔지니어 영입,카카오모빌리티,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=1d3ea25256a554bf
Data Scientist II,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=67ca30c143379281
Bigdata Engineer,Citi,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=edcab5d26dbb740b
Data Scientist,Toss,서울 강남구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=7af6301dc691d3ab
[NAVERxLINE] Global Ad Data Engineer/Data Analyst/User Data Analyst,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=713deb15cc6428fd
네이버 일본 맛집 서비스 CONOMI 머신러닝 개발자,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=feac8a234b715106
글로벌 뮤직 나우 서버/클라이언트 개발자,네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=b5c292ee7f8ef66d
머신러닝/딥러닝 연구 개발,NHN,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=7e5d96b07d5edef0
Analytics Specialist,MightyHive,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=419692b3ddb34768
[정규직] 지식 그래프 스키마 모델링 및 서비스 개발자,SK 씨앤씨,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=a086668a01142706
Technical Solutions Engineer,MightyHive,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=2d83dcf8baac736b
[AI Lab] Machine Learning 데이터 사이언티스트 (전문연구요원 가능),버즈니,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=a93103d6dd6d208e
[NIT Service] NAVER IDC 서버 운영/관리(평촌),엔아이티서비스,안양 동안구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=cef1139c37fba0c4
RTL 및 ASIC 설계 엔지니어(딥러닝 하드웨어 프로세서 개발),딥엑스,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=694ab958318e7fdc
11번가 Data Architect 분야,십일번가,서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=50c5214f29e398ad
8퍼센트 경력 개발자,8퍼센트,서울 종로구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=464ef95516a5fa5c
Business Data Analyst(Hakuna),하이퍼커넥트,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=09771a6f79b71060
시스템개발센터 경력사원,한화솔루션,서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=9efbfb9ef31b5825
11번가 Cloud Engineer 분야,십일번가,서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=fb73e39a823a2d40
NAVER IDC 서버 운영/관리(가산),NIT Service,서울 가산동,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=70fccff4d30cb6bf
자연어처리전문가 금융챗봇 만들어 갈 엔지니어,파운트,서울 충정로역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=a50fce6cc2cb57c9
글로벌 뮤직 데이터 개발자 (신입/경력),네이버,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=d66300b09c820c74
데이터 분석가 모집,카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=092d062a6faa7139
데이터 사이언티스트,에이치앤티어세스,서울 서초구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=09368836e94af911
데이터 엔지니어,RIDI Corp,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=362700e76fff1337
[큐셀] 시스템개발센터 경력사원 [시스템개발팀 Data Scientist],한화솔루션,서울 중구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=6069763b91056df8
Data Center Technician,Amzn Corporate Services Korea,서울,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=1f542078927eb1e4
Associate Application Engineer - OPC,Siemens AG,경기도 성남,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=f826778a849c677c
[AI검색플랫폼] 머신러닝 개발자,카카오엔터프라이즈,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=dea246efe3aa55a7
채팅모듈 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=3b752abecf619fe5
"데이터 가치를 함께 발굴하실 머신러닝, 통계 모델링 전문가 모집",카카오,성남 판교역,https://kr.indeed.com/%EC%B7%A8%EC%97%85?q=python&l=%EC%84%9C%EC%9A%B8&limit=50&radius=25&start=0&vjk=d1e75364ef505c68
